category,subcategory,machine_type,ke,lidermash,stankoinkom,dominik,topstanki,sps_techno,rso,ms_grup
Металлообработка,Прессы,Гидравлические прессы,+,+,-,-,-,-,-,-
Металлообработка,Прессы,Штамповочные прессы,-,+,-,-,-,-,-,-
Металлообработка,Прессы,Кривошипные прессы,+,+,-,-,-,-,-,-
Металлообработка,Прессы,Прессы координатно-пробивные,+,-,-,-,-,-,-,-
Металлообработка,Листогибы,Листогибы,+,только с ЧПУ,только гидравлические,-,+,-,-,-
Металлообработка,Листогибы,Листогибы с ЧПУ,+,+,-,-,+,-,-,-
Металлообработка,Листогибы,Листогибочные прессы,+,только с ЧПУ,-,-,+,-,-,-
Металлообработка,Листогибы,Листогибочные прессы с ЧПУ,+,+,-,-,+,-,-,-
Металлообработка,Листогибы,Гидравлические листогибы,+,только с ЧПУ,+,-,+,-,-,-
Металлообработка,Листогибы,Гидравлические листогибочные прессы с ЧПУ,+,+,-,-,+,-,-,-
Металлообработка,Панелегибы,Автоматические панелегибы с ЧПУ,-,+,-,-,+,-,-,-
Металлообработка,Панелегибы,Панелегибы,-,только с ЧПУ,-,-,+,-,-,-
Металлообработка,Станки для работы с листовым металлом,Станки для жестяных работ,+,-,-,-,-,-,-,-
Металлообработка,Гибочное и формовочное оборудование,Гибочное и формовочное оборудование,+,-,-,-,-,-,-,-
Металлообработка,Резка листового металла,Гильотинные ножницы,+,-,-,-,-,-,-,-
Металлообработка,Резка листового металла,Газорезательное оборудование для листа,+,-,-,-,-,-,-,-
Металлообработка,Резка листового металла,Станки гидроабразивной резки,+,-,-,-,-,-,-,-
Металлообработка,Вальцы,Гидравлические вальцы,-,+,-,-,-,-,-,-
Металлообработка,Фрезерные станки,Фрезерные станки,+,только с ЧПУ,+,-,-,-,-,-
Металлообработка,Фрезерные станки,Фрезерные станки с ЧПУ,+,+,+,-,-,-,-,-
Металлообработка,Фрезерные станки,Универсальные фрезерные станки,+,-,+,-,-,-,+,-
Металлообработка,Токарные станки,Токарные станки (общий вид),+,+,+,-,-,-,-,-
Металлообработка,Токарные станки,Токарные станки с ЧПУ / - Токарные станки с ЧПУ с наклонной станиной / - Токарные станки с приводным инструментом,+,+,+,-,-,-,-,-
Металлообработка,Токарные станки,Универсальные токарные станки / без ЧПУ,+,+,+,-,-,-,+,-
Металлообработка,Станки для обработки металла,Сверлильные станки,+,-,-,-,-,-,-,-
Металлообработка,Станки для обработки металла,Резьбонарезные станки,+,-,-,-,-,-,-,-
Металлообработка,Станки для обработки металла,Ленточнопильные станки по металлу,+,-,+,-,-,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Станки лазерной резки,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Станки для лазерной резки с ЧПУ,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерные станки для резки листового металла,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерные станки для резки двутавровой балки,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерные станки для резки труб и различных профилей,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Станки лазерной резки из рулона,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерные труборезы и листорезы,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерная сварка,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,Лазерная очистка,+,+,-,-,+,-,-,-
Металлообработка,Лазерная резка / сварка / очистка,"Лазерные чистки/сварки, 3в1 (Чистка, сварка, резка)",+,+,-,-,+,-,-,-
Металлообработка,Шлифование металла,Плоскошлифовальные станки,+,-,-,-,-,-,-,-
Металлообработка,Шлифование металла,Круглошлифовальные станки,+,-,-,-,-,-,-,-
Металлообработка,"Станки для труб, профиля / профилирование",Линии профилирования металла и производства труб,+,+,-,-,-,-,-,-
Металлообработка,"Станки для труб, профиля / профилирование",Торцеватели для труб,+,-,-,-,-,-,-,-
Металлообработка,"Станки для труб, профиля / профилирование",Трубогибы,+,-,-,-,-,-,-,-
Металлообработка,"Лазерные маркираторы, граверы","Лазерные маркираторы, граверы",+,-,-,-,-,-,-,-
Металлообработка,Сварочное оборудование,Сварочное оборудование,+,-,-,-,-,-,-,-
Металлообработка,Заточные станки,Заточные станки,+,-,-,-,-,-,-,-
Металлообработка,Заточные станки,Специальные заточные станки,+,-,-,-,-,-,-,-
Металлообработка,Заточные станки,Заточные станки с ЧПУ,+,-,-,-,-,-,-,-
Металлообработка,Производственные линии,Производственные линии,+,-,-,-,-,-,-,-
Металлообработка,Станки ротационной вытяжки,Станки ротационной вытяжки (давильно-раскатные станки с ЧПУ),+,-,-,-,-,-,-,-
Металлообработка,Электрозионные станки,Электрозионные станки,-,-,-,+,-,-,-,-
Металлообработка,Промышленные роботы,Роботы для сварки металлоконструкций,-,-,-,-,-,-,-,-
Металлообработка,Промышленные роботы,"Роботизированные комплексы по сварке, резке",-,-,-,-,-,-,-,-
Металлообработка,Промышленные роботы,Роботизация токарных и фрезерных станков,-,-,-,-,-,-,-,-
Металлообработка,Вспомогательное оборудование и расходные материалы,Компрессоры,-,-,-,-,-,-,-,-
Металлообработка,Вспомогательное оборудование и расходные материалы,Расходные материалы для лазерных станков,-,-,-,-,-,-,-,-
Металлообработка,Вспомогательное оборудование и расходные материалы,Запасные части для разных станков,-,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Станки для шлифовки коленвалов,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Гидравлические прессы для ремонта ДВС,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Стенды для опрессовки ГБЦ,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Станки для ремонта шатунов,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Моечные устройства для очистки деталей ДВС,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Станки для фрезеровки и шлифовки плоскости ГБЦ и блока цилиндров,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Вертикально-расточные станки,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Станки для обработки фаски седла клапана,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Станки для обработки клапанов,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Горизонтально-расточные станки,+,-,-,-,-,-,-,-
Металлообработка,Станки для ремонта ДВС,Вертикально-хонинговальные станки,+,-,-,-,-,-,-,-
Металлообработка,Стенды ТНВД и COMMON RAIL,Стенды ТНВД и COMMON RAIL,+,-,-,-,-,-,-,-
Деревообработка,Станки для мебельных и деревообрабатывающих производств,Промышленное оборудование для мебельных и деревообрабатывающих производств,-,-,-,-,-,+,-,-
Деревообработка,Форматно-раскроечные станки,Форматно-раскроечный станок,-,-,+,-,-,+,-,-
Деревообработка,Форматно-раскроечные станки,Форматно-раскроечный центр с ЧПУ,-,-,+,-,-,+,-,+
Деревообработка,Кромкооблицовочные станки,Кромкооблицовочные станки,-,-,автоматические,-,+,+,-,+
Деревообработка,Кромкооблицовочные станки,Автоматический кромкооблицовочный станок,-,-,+,-,-,+,-,+
